AGENCY_NAME;NIGP_DESCRIPTION;PO_TOTAL_AMOUNT;ORDER_DATE;SUPPLIER;SUPPLIER_CITY;SUPPLIER_STATE
PUBLIC CHARTER SCHOOLS;SCHOOL OPERATION AND MANAGEMENT SERVICES 71;$47628.00;10/6/11;MERIDIAN PUBLIC CHARTER SCHOOL;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$149000.00;10/6/11;DAMIEN MINISTRIES, INC.;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;AUDIO-VISUAL EQUIPMENT MAINTENANCE AND REPAIR 06;$8000.00;10/6/11;DUPONT COMPUTERS;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$37500.00;10/6/11;UNITY HEALTH CARE, INC.;WASHINGTON  ;DC
LOTTERY & CHARITABLE GAMES CONTROL BOARD;FILE DIVIDERS, LABELS, TABS, ETC. 39;$10000.00;10/6/11;CAPITAL SERVICES AND SUPPLIES;WASHINGTON  ;DC
DEPART OF YOUTH REHABILITATION SERVICES;BREAD, ROLLS, ETC. (INCLUDING BROWN AND SERVE ITEMS) 15;$18000.00;10/6/11;H & S BAKERY, INC.;BALTIMORE  ;MD
DEPT. OF CONSUMER AND REGULATORY AFFAIRS;TOKENS 88;$4400.00;10/6/11;WASH METRO AREA TRANSIT AUTH;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$7922.00;10/6/11;CHICAGO-SOFT LTD;CHICAGO  ;IL
DEPARTMENT OF HUMAN SERVICES;TEENAGE PREGNANCY SERVICES 88;$64189.00;10/6/11;YOUTH ORG UNITED TO RISE;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;PROJECT MANAGEMENT SERVICES 77;$52631.52;10/7/11;CAREER MINDERS, LLC;HAYMARKET  ;VA
HOMELAND SECURITY/EMERGENCY MANAGEMENT;TELEPHONE LINE MONITORING SYSTEMS 86;$3730.00;10/7/11;AAT COMMUNICATIONS SYSTEMS CORP.;STATEN ISLAND  ;NY
OFFICE OF CHIEF FINANCIAL OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$7755.00;10/7/11;IMAGE TAG INC;TEMPE  ;AZ
BOARD OF ELECTIONS;NETWORK COMPONENTS: ADAPTER CARDS, BRIDGES, CONNECTORS, EXPANSION MODULES/PORTS, FIREWALL DEVICES, HUBS, LINE DRIVERS, MSAUS, ROUTERS, TRANSCEIVERS, ETC. 64;$5400.00;10/7/11;DRAKE COMMUNICATONS, INC.;DALLAS  ;TX
DEPARTMENT OF TRANSPORTATION;CONSTRUCTION CONSULTING 31;$479892.00;10/7/11;METRO WASH. COUNCIL OF;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;CONSTRUCTION, HIGHWAY AND ROAD 27;$2094952.50;10/7/11;METRO WASH. COUNCIL OF;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$3650.00;10/7/11;CONTEXT GLOBAL INCORPORATED;WASHINGTON  ;DC
OFFICE OF CABLE TV;AUDIO/VIDEO PRODUCTION SERVICES COMPLETE 09;$21000.00;10/7/11;MEDIA MANAGEMENT SYSTEMS, INC.;LILBURN  ;GA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;EDUCATION AND TRAINING CONSULTING 38;$9748.00;10/7/11;APPLE COMPUTER INC;CUPERTINO  ;CA
BOARD OF ELECTIONS;SOFTWARE MAINTENANCE/SUPPORT 45;$3600.00;10/7/11;DYNAMIC PATH, LLC;PITTSBURGH  ;PA
DEPARTMENT OF MOTOR VEHICLES;SOFTWARE MAINTENANCE/SUPPORT 45;$17085.40;10/7/11;INFORMATICA CORPORATION;REDWOOD CITY  ;CA
COUNCIL OF THE DISTRICT OF COLUMBIA;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$2972.00;10/7/11;COMMONWEALTH DIGITAL OFFICE;STERLING  ;VA
DEPARTMENT OF HEALTH CARE FINANCE;PHARMACEUTICAL SERVICES 72;$200000.00;10/7/11;FIRST HEALTH SERVICE CORP.;GLEN ALLEN  ;VA
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$46740.00;10/7/11;OST, INC.;WASHINGTON  ;DC
BOARD OF ELECTIONS;SOFTWARE MAINTENANCE/SUPPORT 45;$4489.00;10/7/11;METROPOLITAN OFFICE PRODUCTS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$59200.00;10/7/11;COLUMBIA LIGHTHOUSE FOR BLIND;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;COMMUNICATIONS: PUBLIC RELATIONS CONSULTING 26;$12000.00;10/7/11;STAR OFFICE PRODUCTS, INC;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;LABORATORY EQUIPMENT 57;$7000.00;10/7/11;STAR OFFICE PRODUCTS, INC;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03;$626088.59;10/7/11;ADOPTIONS TOGETHER INC;SILVER SPRING  ;MD
DEPARTMENT OF GENERAL SERVICES;BUILDING AND FACILITIES MANAGEMENT SERVICES 15;$626268.00;10/7/11;FORT MYER CONSTRUCTION CORPORA;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$3679.82;10/7/11;METROPOLITAN OFFICE PRODUCTS;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;PROJECT MANAGEMENT SERVICES 77;$18673.68;10/7/11;MIDTOWN PERSONNEL INC;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;PROJECT MANAGEMENT SERVICES 77;$68820.48;10/7/11;MIDTOWN PERSONNEL INC;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EMPLOYMENT AGENCY AND SEARCH FIRM SERVICES (INCLUDING BACKGROUND INVESTIGATIONS AND DRUG TESTING FOR EMPLOYMENT) 30;$54000.00;10/7/11;MIDTOWN PERSONNEL INC;WASHINGTON  ;DC
PUBLIC CHARTER SCHOOLS;SCHOOL OPERATION AND MANAGEMENT SERVICES 71;$24930.00;10/7/11;IDEAL ACADEMY PCS;WASHINGTON  ;DC
PUBLIC CHARTER SCHOOLS;SCHOOL OPERATION AND MANAGEMENT SERVICES 71;$124713.00;10/7/11;IDEAL ACADEMY PCS;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;PROJECT MANAGEMENT SERVICES 77;$75000.00;10/7/11;LEFTWICH & LUDAWAY;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03;$936666.55;10/7/11;CHILDRENS CHOICE OF MD. INC.;BELLMAWR  ;NJ
METROPOLITAN POLICE DEPARTMENT;APPLICATIONS SOFTWARE FOR MICROCOMPUTER SYSTEMS: BUSINESS, MATHEMATICAL/STATISTICAL, MEDICAL, SCIENTIFIC, ETC. 07;$9180.00;10/7/11;REED ELSEVIER INCORPORATED;WYMAN  ;MA
DEPARTMENT OF GENERAL SERVICES;PROJECT MANAGEMENT SERVICES 77;$22968.00;10/7/11;MVS, INC.;WASHINGTON  ;DC
DEPARTMENT OF HUMAN SERVICES;TEENAGE PREGNANCY SERVICES 88;$160000.00;10/7/11;METRO TEEN AIDS;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;LABORATORY EQUIPMENT 57;$5000.00;10/7/11;CAPITAL SERVICES AND SUPPLIES;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$30923.00;10/7/11;ONIX NETWORKING CORP.;WESTLAKE  ;OH
DEPARTMENT OF MENTAL HEALTH;HAZARDOUS MATERIAL AND WASTE SERVICES (INCLUDING NUCLEAR WASTES) 45;$27577.38;10/7/11;STERICYCLE INC;LAKE FOREST  ;IL
METROPOLITAN POLICE DEPARTMENT;HORSESHOES, HORSESHOE NAILS, FARRIER TOOLS, AND BLACKSMITH TOOLS 40;$3750.00;10/7/11;ARVIN G. REYNOLDS;LORTON  ;VA
MUNICIPAL FACILITIES: NON-CAPITAL;GUARD AND SECURITY SERVICES 46;$13862557.44;10/7/11;US SECURITY ASSOCIATES, INC.;ROSWELL  ;GA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TEST AND TEST SCORING DEVICES: ACHIEVEMENT, APTITUDE, INTELLIGENCE, ETC. 90;$4127.18;10/7/11;PEARSON EDUCATION, INC.;UPPER SADDLE RIVER  ;NJ
DEPARTMENT OF GENERAL SERVICES;PROJECT MANAGEMENT SERVICES 77;$38000.00;10/7/11;PARADYME MANAGEMENT, INC.;GREENBELT  ;MD
DEPART OF YOUTH REHABILITATION SERVICES;PEST CONTROL (INCL. TERMITE INSPECTION AND CONTROL, BIRD PROOFING, ANIMAL TRAPPING, RODENT CONTROL, EXTERMINATING AND FUMIGATION) 59;$14092.27;10/7/11;WESTERN INDUSTRIES - SOUTH, IN;GAITHERSBURG  ;MD
DEPARTMENT OF MENTAL HEALTH;SOFTWARE MAINTENANCE/SUPPORT 45;$5390.00;10/7/11;CORAS WORKS CORPORATION;RESTON  ;VA
METROPOLITAN POLICE DEPARTMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$4246.80;10/7/11;TEAM FABRICATION, INC.;WEST FALL  ;NY
DEPARTMENT OF GENERAL SERVICES;GARBAGE/TRASH REMOVAL, DISPOSAL AND/OR TREATMENT 27;$272137.27;10/10/11;JEROME L. TAYLOR TRUCKING INC.;WASHINGTON  ;DC
COUNCIL OF THE DISTRICT OF COLUMBIA;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$5096.80;10/11/11;BLUE STATE DIGITAL, INC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CONCESSIONS, CATERING, VENDING: MOBILE AND STATIONARY 15;$5650.00;10/11/11;GREAT AMERICAN CORP;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$238389.79;10/11/11;DISTRICT ALLIANCE SAFE HOUSING;WASHINGTON  ;DC
OFFICE OF THE CHIEF MEDICAL EXAMINER;RADIATION DOSIMETER SERVICES 75;$3352.00;10/11/11;MIRION TECHNOLOGIES GDS, INC.;IRVINE  ;CA
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$335320.00;10/11/11;IONIA R. WHIPPER HOME, INC.;WASHINGTON  ;DC
COUNCIL OF THE DISTRICT OF COLUMBIA;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$9575.91;10/11/11;VERIZON;SILVER SPRING  ;MD
DEPARTMENT OF PUBLIC WORKS;CARPENTRY MAINTENANCE AND REPAIR SERVICES 06;$40000.00;10/11/11;BMD INC.;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;FOUNTAINS, STATUES AND OTHER DECORATIVE LAWN AND GARDEN ITEMS 30;$10000.00;10/11/11;SHORT ENTERPRISES, INC.;FAIRFAX  ;VA
DISTRICT DEPARTMENT OF THE ENVIRONMENT;COMPUTER HARDWARE CONSULTING 28;$135440.00;10/11/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;COMPUTER NETWORK CONSULTING 30;$32998.00;10/11/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$51624.00;10/11/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;COMPUTER NETWORK CONSULTING 30;$76032.00;10/11/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;COMPUTER NETWORK CONSULTING 30;$36004.00;10/11/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH CARE FINANCE;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$314849.42;10/11/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;COMPUTER NETWORK CONSULTING 30;$78182.00;10/11/11;OST, INC.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;RECYCLED TANKS, ACCESSORIES AND SUPPLIES 95;$4656.00;10/11/11;W S JENKS & SON;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PERSONNEL/EMPLOYMENT CONSULTING 85;$200000.00;10/11/11;NATIONAL NURSES SEVICES INC;SILVER SPRING  ;MD
DEPARTMENT OF HEALTH CARE FINANCE;EMPLOYMENT AGENCY AND SEARCH FIRM SERVICES (INCLUDING BACKGROUND INVESTIGATIONS AND DRUG TESTING FOR EMPLOYMENT) 30;$44020.00;10/11/11;ROSS PROFESSIONAL SERVICES;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;LOAN ADMINISTRATION 60;$125350.00;10/11/11;VOICES OF MADISON COOPERATIVE;WASHINGTON  ;DC
DEPARTMENT OF PUBLIC WORKS;CARPENTRY MAINTENANCE AND REPAIR SERVICES 06;$30000.00;10/11/11;R. REA CORPORATION;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;NEWSPAPER AND PUBLICATION ADVERTISING 71;$10000.00;10/11/11;DAILY WASHINGTON LAW REPORTER;WASHINGTON  ;DC
DEPARTMENT OF CORRECTIONS;TOKENS 88;$53661.60;10/11/11;WASH METRO AREA TRANSIT AUTH;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$500000.00;10/11/11;WASHINGTON DC ECONOMIC PARTNER;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$16646.00;10/11/11;FORT VIEW, LP;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;LOAN ADMINISTRATION 60;$73417.00;10/11/11;BROOKLAND ARTSPACE, LLC;MINNEAPOLIS  ;MN
COUNCIL OF THE DISTRICT OF COLUMBIA;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$14489.00;10/11/11;EMC;HOPKINTON,  ;MA
COUNCIL OF THE DISTRICT OF COLUMBIA;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$3562.71;10/11/11;EMC;HOPKINTON,  ;MA
DEPARTMENT OF PUBLIC WORKS;MAILING SERVICES (INCL. COLLATING, PACKAGING, SORTING AND DELIVERY) 58;$18710.82;10/11/11;POST MASTER;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;LOAN ADMINISTRATION 60;$44277.00;10/11/11;WHEELER TERRACE DEVELOPMENT LP;WASHINGTON  ;DC
DEPARTMENT OF CORRECTIONS;GLOVES: LATEX, PLASTIC, PVC, POLY, SYNTHETIC, VINYL, ETC. (ALL TYPES) 42;$4950.00;10/11/11;THE HAMILTON GROUP;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$29090.56;10/12/11;LAWRENCE H. DUBESTER;BETHESDA  ;MD
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$7241.66;10/12/11;NICOLE REID JOHNSON;BOWIE  ;MD
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$12638.44;10/12/11;PATRICK J. CANAVAN;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;MEDICAL CONSULTING 78;$81419.52;10/12/11;DR ESTHER G PINDER;SILVER SPRING  ;MD
DEPARTMENT OF GENERAL SERVICES;JANITORIAL/CUSTODIAL SERVICES 39;$24204.68;10/12/11;PORTFOLIO PROPERTY MANAGEMENT;BOCA RATON  ;FL
COUNCIL OF THE DISTRICT OF COLUMBIA;COMPUTER MANAGEMENT SERVICES 23;$30000.00;10/12/11;EMC;HOPKINTON,  ;MA
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$18500.00;10/12/11;KARIMAH WARE;GREENBELT   ;MD
METROPOLITAN POLICE DEPARTMENT;COPY MACHINES, ENGINEERING, FOR REPRODUCTION AND DESIGN PRODUCTION 41;$15000.00;10/12/11;DIGITAL CONVERGENCE PARTNERS;TEMECULA  ;CA
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$8400.00;10/12/11;FEREMUSU N KAMARA;LARGO  ;MD
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$18500.00;10/12/11;ALISON S. BROWNE;ALEXANDRIA  ;VA
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$18500.00;10/12/11;PIUS OJEVWE;SEVERN  ;MD
DEPART OF YOUTH REHABILITATION SERVICES;JUICES, FRUIT AND VEGETABLE (NOT FROZEN) 60;$54000.00;10/12/11;HOLDER ENTERPRISES, INC.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$33600.00;10/12/11;ANDRIENNE CHARLES;MOUNT RAINIER   ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CONCESSIONS, CATERING, VENDING: MOBILE AND STATIONARY 15;$2636.05;10/12/11;GREAT AMERICAN CORP;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;MEDICAL CONSULTING 78;$67375.36;10/12/11;GEMMA N. NACHBAHR, PH.D.;ANNAPOLIS  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18;$2996.39;10/12/11;HOUGHTON MIFFLIN CO INC;BOSTON  ;MA
OFFICE OF CHIEF FINANCIAL OFFICER;TAX STAMPS (OTHER THAN CIGARETTE AND LIQUOR), NUMBERED AND UN-NUMBERED 56;$32415.00;10/12/11;MEYERCORD REVENUE INC.;CAROL STREAM  ;IL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$150000.00;10/12/11;URBAN POLICY DEVELOPMENT, LLC;BALTIMORE  ;MD
DEPARTMENT ON DISABILITY SERVICES;MEDICAL CONSULTING 78;$60536.32;10/12/11;D. GAMBLES & ASSOCIATES, PLLC;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;CAFETERIA AND KITCHEN EQUIPMENT, COMMERCIAL, MAINTENANCE AND REPAIR 30;$4000.00;10/12/11;SUDHA, INC.;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;MEDICAL CONSULTING 78;$64579.84;10/12/11;JANET S. BRANDON;CHESTERTOWN  ;MD
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$10000.00;10/12/11;DADDY'S CORNER, INCORPORATED;SILVER SPRING  ;MD
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$10000.00;10/12/11;COLUMBIA LEARNING INTERNATIONA;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$10000.00;10/12/11;INNER LIGHT MINISTRIES;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;SOFTWARE MAINTENANCE/SUPPORT 45;$31881.00;10/12/11;HOUSING & DEVELOPMENT SOFTWARE;WESTON  ;FL
BOARD OF ELECTIONS;UTILITY VEHICLE RENTAL OR LEASE 88;$3000.00;10/12/11;RYDER TRUCK RENTALS;LANDOVER  ;MD
DC PUBLIC LIBRARY;PLUMBING MAINTENANCE AND REPAIR (INCLUDES TOILETS, ETC.) 60;$75000.00;10/12/11;A.H. JORDAN PLUMBING & MECHANI;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;MEDICAL CONSULTING 78;$75670.40;10/12/11;DR ANN L B WILLIAMS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33;$3687.50;10/12/11;OFFICEMAX;ELKRIDGE  ;MD
DEPARTMENT OF TRANSPORTATION;ENGINEERING CONSULTING 42;$907215.25;10/12/11;M C DEAN INC;DULLES  ;VA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$5842.00;10/12/11;TRINITY COLLEGE OF DC;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$90000.00;10/12/11;NATIONAL CAPITAL COALITION;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;COPY MACHINE, PLAIN PAPER TYPE (INCLUDING COST-PER-COPY TYPE LEASES) RENTAL OR LEASE 26;$31918.00;10/12/11;COMPUTERDATA SOLUTIONS, LLC;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;PHOTOGRAPHY (NOT INCLUDING AERIAL PHOTOGRAPHY) 72;$9980.16;10/12/11;COLOR ID, LLC;CORNELIUS  ;NC
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$18500.00;10/12/11;EBONY DENNIS MUNDY;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PEST CONTROL (INCL. TERMITE INSPECTION AND CONTROL, BIRD PROOFING, ANIMAL TRAPPING, RODENT CONTROL, EXTERMINATING AND FUMIGATION) 59;$15900.00;10/12/11;TRIPLE STERMITE PEST CONTROL;SILVER SPRING  ;MD
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$18500.00;10/12/11;TERESA M. GRANT;WASHINGTON  ;DC
DC PUBLIC LIBRARY;ELECTRICAL 38;$7500.00;10/12/11;ATLANTIC ELECTRIC SUPPLY CORP;WASHINGTON  ;DC
OFFICE OF UNIFIED COMMUNICATIONS;COMPUTER SOFTWARE CONSULTING 29;$99673.60;10/12/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;COMPUTER NETWORK CONSULTING 30;$112598.00;10/12/11;OST, INC.;WASHINGTON  ;DC
DEPT. OF CONSUMER AND REGULATORY AFFAIRS;COMPUTER SOFTWARE CONSULTING 29;$114028.60;10/12/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$62956.80;10/12/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$95735.20;10/12/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF UNIFIED COMMUNICATIONS;COMPUTER SOFTWARE CONSULTING 29;$188406.40;10/12/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;COMPUTER NETWORK CONSULTING 30;$102989.00;10/12/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;COMPUTER NETWORK CONSULTING 30;$112598.00;10/12/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$60342.00;10/12/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$113131.20;10/12/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;COMPUTER NETWORK CONSULTING 30;$73709.00;10/12/11;OST, INC.;WASHINGTON  ;DC
FIRE AND EMERGENCY MEDICAL SERVICES;RESCUE AND SEARCH TEAM SERVICES 75;$4008.84;10/12/11;SAFEWARE INC;RICHMOND  ;VA
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$93749.00;10/12/11;HOWARD UNIVERSITY HOSPITAL;WASHINGTON  ;DC
OFFICE OF ZONING;SOFTWARE MAINTENANCE/SUPPORT 45;$24284.00;10/12/11;KARCHER GROUP, INC.;CHANTILLY  ;VA
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$10489.64;10/12/11;MARIE B WAITERS;BRANDYWINE  ;MD
DEPARTMENT OF MENTAL HEALTH;HEATING, AIR CONDITIONING, AND VENTILATION MAINTENANCE AND REPAIR SERVICES (INCLUDING INSTALLATION) 36;$2600.00;10/12/11;COSMOS AIR PURFICATIONS;LANDOVER  ;MD
DEPARTMENT ON DISABILITY SERVICES;MEDICAL CONSULTING 78;$60536.32;10/12/11;THE WORKMEN'S CLINIC;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$25000.00;10/12/11;LATIN AMERICAN YOUTH CENTER;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;ICE CREAM MAKING MACHINERY (INCLUDING MALT AND MILKSHAKE EQUIPMENT) 50;$10000.00;10/12/11;TAYLOR EQUIPMENT DISTRIBUTORS;LANDOVER  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;JANITORIAL EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 65;$4809.98;10/12/11;MTW DISTRIBUTORS INC;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;NURSING SERVICES 64;$15897.76;10/12/11;MAXIM HEALTHCARE SVCS;SILVER SPRING  ;MD
DC PUBLIC LIBRARY;SIGN LANGUAGE SERVICES FOR THE HEARING IMPAIRED 67;$36009.00;10/12/11;GRAHAM STAFFING SERVICES INC;ROCKVILLE,  ;MD
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$4138758.80;10/12/11;DC CANCER CONSORTIUM;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$369366.00;10/12/11;DC CANCER CONSORTIUM;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$113183.00;10/12/11;DUTCHMILL CATERERS;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PAPER CLIPS, BALL BEARING 67;$10000.00;10/12/11;LASER ART INC;WASHINGTON  ;DC
HOMELAND SECURITY/EMERGENCY MANAGEMENT;WATER, POTABLE (SEE 390-91 FOR BOTTLED WATER) 95;$4000.00;10/12/11;LASER ART INC;WASHINGTON  ;DC
DC PUBLIC LIBRARY;ELECTRICAL 38;$39804.00;10/12/11;UNITED GENERAL CONTRACTOR;WASHINGTON  ;DC
OFFICE OF CHIEF FINANCIAL OFFICER;MEMBERSHIP DUES 48;$4615.00;10/12/11;NASBO;WASHINGTON  ;DC
